サロンID,サロン名,オーナー名,"Facebook URL",ユーザーID,ユーザー名,当月決済金額
6,"a san no. salon",asan,asan.fb.com,4,watashi,FAIL
6,"a san no. salon",asan,asan.fb.com,11,aaaa,FAIL
6,"a san no. salon",asan,asan.fb.com,23,田中,9854
6,"a san no. salon",asan,asan.fb.com,55,gatti,50000
8,karisalon,kari,karikari.com,2,watashi,FAIL
8,karisalon,kari,karikari.com,3,watashi,FAIL
8,karisalon,kari,karikari.com,10,watashi,FAIL
8,karisalon,kari,karikari.com,15,watashi,9854
8,karisalon,kari,karikari.com,18,aaaa,FAIL
8,karisalon,kari,karikari.com,34,jjj,40000
9,aaaa,namenamename,pajeiaw,1,"panda san",7890
9,aaaa,namenamename,pajeiaw,12,test,9999
9,aaaa,namenamename,pajeiaw,14,test,100
9,aaaa,namenamename,pajeiaw,16,test,FAIL
9,aaaa,namenamename,pajeiaw,19,test,FAIL
9,aaaa,namenamename,pajeiaw,20,test,FAIL
9,aaaa,namenamename,pajeiaw,22,panda,7890
12,pandaaaaa,namenamename,pandada.com,6,aaa,FAIL
12,pandaaaaa,namenamename,pandada.com,5,aaa,FAIL
12,pandaaaaa,namenamename,pandada.com,7,aaa,FAIL
12,pandaaaaa,namenamename,pandada.com,9,aaa,FAIL
12,pandaaaaa,namenamename,pandada.com,8,aaa,FAIL
12,pandaaaaa,namenamename,pandada.com,13,test,9999
12,pandaaaaa,namenamename,pandada.com,17,aaaa,FAIL
12,pandaaaaa,namenamename,pandada.com,21,深海院,100
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,25,わたし,9999
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,27,わたし,9854
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,24,わたし,7890
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,26,わたし,FAIL
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,29,佐藤ファン,FAIL
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,47,Aさん,569
14,今日も猫山です,猫山ねこ,nekoyama.fb.com,28,neko,9999
14,今日も猫山です,猫山ねこ,nekoyama.fb.com,30,犬川いぬ,FAIL
15,小さなサロン,ミニ丸,chiisanasalon.fb.com,31,watashi,9854
15,小さなサロン,ミニ丸,chiisanasalon.fb.com,32,犬山神子,7890
15,小さなサロン,ミニ丸,chiisanasalon.fb.com,33,適当さん,100
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,43,税金代行,398
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,44,税金代行,9999
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,45,buta,569
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,49,仮谷仮太郎,FAIL
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,50,裏山浦次郎,659
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,51,testたかし,FAIL
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,52,test花子,FAIL
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,53,テスト翔,50000
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,54,次葉勝,FAIL
17,田中のロングサロン,田中,ronguhea.fb.com,40,panda,100000
17,田中のロングサロン,田中,ronguhea.fb.com,41,panda,398
17,田中のロングサロン,田中,ronguhea.fb.com,42,panda,398
18,ミニミニサロン3,ミニ丸,minisalon.fb.com,46,MINIKO,569
18,ミニミニサロン3,ミニ丸,minisalon.fb.com,48,仮谷仮太郎,831
20,上野のパンダサロン,namenamename,panda.love.fb.com,39,watashi,40000
20,上野のパンダサロン,namenamename,panda.love.fb.com,38,watashi,100000
21,佐藤の写真サロン・進化版,佐藤,sato.shasin-shinka.fb.com,35,satosato,FAIL
21,佐藤の写真サロン・進化版,佐藤,sato.shasin-shinka.fb.com,36,kikaikko,FAIL
21,佐藤の写真サロン・進化版,佐藤,sato.shasin-shinka.fb.com,37,watashi,FAIL
