サロンID,サロン名,オーナー名,"Facebook URL",ユーザーID,ユーザー名,当月決済金額
NULL,NULL,NULL,4,watashi,100
NULL,NULL,NULL,11,aaaa,100
NULL,NULL,NULL,23,田中,100
NULL,NULL,NULL,55,gatti,100
NULL,NULL,NULL,2,watashi,9999
NULL,NULL,NULL,10,watashi,9999
NULL,NULL,NULL,3,watashi,9999
NULL,NULL,NULL,15,watashi,9999
NULL,NULL,NULL,18,aaaa,9999
NULL,NULL,NULL,34,jjj,9999
NULL,NULL,NULL,1,"panda san",7890
NULL,NULL,NULL,12,test,7890
NULL,NULL,NULL,16,test,7890
NULL,NULL,NULL,19,test,7890
NULL,NULL,NULL,14,test,7890
NULL,NULL,NULL,22,panda,7890
NULL,NULL,NULL,5,aaa,9854
NULL,NULL,NULL,13,test,9854
NULL,NULL,NULL,17,aaaa,9854
NULL,NULL,NULL,21,深海院,9854
NULL,NULL,NULL,24,わたし,40000
NULL,NULL,NULL,29,佐藤ファン,40000
NULL,NULL,NULL,47,Aさん,40000
NULL,NULL,NULL,28,neko,100000
NULL,NULL,NULL,30,犬川いぬ,100000
NULL,NULL,NULL,31,watashi,398
NULL,NULL,NULL,32,犬山神子,398
NULL,NULL,NULL,33,適当さん,398
NULL,NULL,NULL,43,税金代行,50000
NULL,NULL,NULL,45,buta,50000
NULL,NULL,NULL,49,仮谷仮太郎,50000
NULL,NULL,NULL,50,裏山浦次郎,50000
NULL,NULL,NULL,51,testたかし,50000
NULL,NULL,NULL,52,test花子,50000
NULL,NULL,NULL,53,テスト翔,50000
NULL,NULL,NULL,54,次葉勝,50000
NULL,NULL,NULL,40,panda,659
NULL,NULL,NULL,46,MINIKO,323
NULL,NULL,NULL,48,仮谷仮太郎,323
NULL,NULL,NULL,38,watashi,831
NULL,NULL,NULL,35,satosato,569
NULL,NULL,NULL,36,kikaikko,569
NULL,NULL,NULL,37,watashi,569
